"sys_pk","sys_timestamp","sys_guid","sys_dtcreated","sys_user","sys_lastuser","sys_exported","sys_dtexported","sys_info","codigo","descripcion","tcambio","sys_recver","sys_deleted","sys_lock"
"129","2016-01-01 12:00:00","13f5e93ad815476ea7827deaad5be86c","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"TJS","Somoni tayik (de Tayikistán)","1.00000000","0",\N,\N
"130","2016-01-01 12:00:00","e33a148498974926ba2fa7bbb706f243","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"TMT","Manat turcomano","1.00000000","0",\N,\N
"131","2016-01-01 12:00:00","85483c6887e54232a23eebee5b72dab3","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"TND","Dinar tunecino","1.00000000","0",\N,\N
"132","2016-01-01 12:00:00","8c822df398074ead93af65fb5cf848ad","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"TOP","Paanga tongano","1.00000000","0",\N,\N
"133","2016-01-01 12:00:00","4ebe8cf4a9ce499d88bc76352ef66143","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"TRY","Lira turca","1.00000000","0",\N,\N
"134","2016-01-01 12:00:00","a28cb50e5fca498caa2970e2dec40d11","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"TTD","Dólar de Trinidad y Tobago","1.00000000","0",\N,\N
"135","2016-01-01 12:00:00","d6fb9fa1b34440f09ed75930d8b69775","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"TWD","Dólar taiwanés","1.00000000","0",\N,\N
"136","2016-01-01 12:00:00","b89238d82a7141b28d1bb3f8cfa3b2c0","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"TZS","Chelín tanzano","1.00000000","0",\N,\N
"137","2016-01-01 12:00:00","b8854d808cea4be3a638cde014656d70","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"UAH","Grivna ucraniana","1.00000000","0",\N,\N
"138","2016-01-01 12:00:00","01bcf1f32aca49c498e9d87a693ab581","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"UGX","Chelín ugandés","1.00000000","0",\N,\N
"139","2016-01-01 12:00:00","3bbc23e1ace4454db687de3d61c4a4fb","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"UYU","Peso uruguayo","1.00000000","0",\N,\N
"140","2016-01-01 12:00:00","b976063dae0a4cc683e4f2dce81f6825","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"UZS","Som uzbeko","1.00000000","0",\N,\N
"141","2016-01-01 12:00:00","388541640a86477ca6408e3aafc4aa99","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"VEF","Bolívar fuerte venezolano","1.00000000","0",\N,\N
"142","2016-01-01 12:00:00","1592be9ebedb40bd918a653a4245d4dc","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"VND","Dong vietnamita","1.00000000","0",\N,\N
"143","2016-01-01 12:00:00","8e273cf109a74475aa5d19cd4d050e90","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"VUV","Vatu vanuatense","1.00000000","0",\N,\N
"144","2016-01-01 12:00:00","756f9b5dd8ed44c8824e3d9f72db0b5d","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"WST","Tala samoana","1.00000000","0",\N,\N
"145","2016-01-01 12:00:00","3e06c05a7ca247458fba99a914882ac4","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"XAF","Franco CFA de África Central","1.00000000","0",\N,\N
"146","2016-01-01 12:00:00","2194ba2a267e46e1a23d942dbe33d16c","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"XAG","Onza de plata","1.00000000","0",\N,\N
"147","2016-01-01 12:00:00","f03878c9d33c402099a9229739038f7e","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"XAU","Onza de oro","1.00000000","0",\N,\N
"148","2016-01-01 12:00:00","8e699c53f4b544d4b3d8106b5ac3aa1c","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"XCD","Dólar del Caribe Oriental","1.00000000","0",\N,\N
"149","2016-01-01 12:00:00","8835c1e21e9544a2b771119da3f89c07","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"XPD","Onza de paladio","1.00000000","0",\N,\N
"150","2016-01-01 12:00:00","8302681a5f224dd18a08c9b83d7ace8f","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"XPF","Franco CFP","1.00000000","0",\N,\N
"151","2016-01-01 12:00:00","c4ee842240a040f5b79935ba97c0286c","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"XPT","Onza de platino","1.00000000","0",\N,\N
"152","2016-01-01 12:00:00","37a9d0eaa8a74f2f8eadc88411125527","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"XTS","Reservado para pruebas","1.00000000","0",\N,\N
"153","2016-01-01 12:00:00","935285accc5a468a87ca2574560f6569","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"XXX","Sin divisa","1.00000000","0",\N,\N
"154","2016-01-01 12:00:00","46823495cd1a43a2a131d7cdfb43735f","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"YER","Rial yemení (de Yemen)","1.00000000","0",\N,\N
"155","2016-01-01 12:00:00","1a9ce8dd0c474c54a277f695fec4dad8","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"ZAR","Rand sudafricano","1.00000000","0",\N,\N
"156","2016-01-01 12:00:00","7557484013bd4e98be22026ba5f18c27","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"ZMW","Kwacha zambiano","1.00000000","0",\N,\N
"157","2016-01-01 12:00:00","989efec9ad1d481f8e99351911931c5f","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"ZWL","Dólar zimbabuense","1.00000000","0",\N,\N
