"sys_pk","sys_timestamp","sys_guid","sys_dtcreated","sys_user","sys_lastuser","sys_exported","sys_dtexported","sys_info","codigo","descripcion","tcambio","sys_recver","sys_deleted","sys_lock"
"30","2016-01-01 12:00:00","8e1a05fca89d4dedb734faabe04e9d42","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"CLP","Peso chileno","1.00000000","0",\N,\N
"31","2016-01-01 12:00:00","492e34e5ed284d33b0f4e6be3aaaf2a9","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"CNY","Yuan chino","1.00000000","0",\N,\N
"32","2016-01-01 12:00:00","cd0039515bb74e359416c3f868cc30e5","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"COP","Peso colombiano","1.00000000","0",\N,\N
"33","2016-01-01 12:00:00","b22836a971594000b8a89ecc2880cc62","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"CRC","Colón costarricense","1.00000000","0",\N,\N
"34","2016-01-01 12:00:00","9ab64a0036a6450297c41f1722b29ea2","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"CUP","Peso cubano","1.00000000","0",\N,\N
"35","2016-01-01 12:00:00","290163e612d747349aeaf82c4dbe66a2","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"CUC","Peso cubano convertible","1.00000000","0",\N,\N
"36","2016-01-01 12:00:00","7fb27536ac8a42d386b52cf98e5fb23b","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"CVE","Escudo caboverdiano","1.00000000","0",\N,\N
"37","2016-01-01 12:00:00","90f380eff9a94386be558a5b97f73673","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"CZK","Koruna checa","1.00000000","0",\N,\N
"38","2016-01-01 12:00:00","355dfc29884f44f0af6fa3798a34c1cb","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"DJF","Franco yibutiano","1.00000000","0",\N,\N
"39","2016-01-01 12:00:00","e4295ac0a30e4a20850dc9f7e388be52","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"DKK","Corona danesa","1.00000000","0",\N,\N
"40","2016-01-01 12:00:00","94234f736eb44e0590091c0ae66f3cc4","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"DOP","Peso dominicano","1.00000000","0",\N,\N
"41","2016-01-01 12:00:00","07c055fb91bf4b3398fdd945965dcbf3","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"DZD","Dinar argelino","1.00000000","0",\N,\N
"42","2016-01-01 12:00:00","25c72c7a9e11445c891dbdf0a10c89fb","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"EGP","Libra egipcia","1.00000000","0",\N,\N
"43","2016-01-01 12:00:00","6924d1ceb7fa4d63ba79794eab7e8137","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"ERN","Nakfa eritreo","1.00000000","0",\N,\N
"44","2016-01-01 12:00:00","1551992775e24b6eaa5cc417fb707174","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"ETB","Birr etíope","1.00000000","0",\N,\N
"45","2016-01-01 12:00:00","fc06372212bd4f018175ae9f319b6911","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"FJD","Dólar fiyiano","1.00000000","0",\N,\N
"46","2016-01-01 12:00:00","05f45a362316413bb3490a8a17dc315c","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"FKP","Libra malvinense","1.00000000","0",\N,\N
"47","2016-01-01 12:00:00","794ebaf5820543df8511a15e03eb61b4","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"GEL","Lari georgiano","1.00000000","0",\N,\N
"48","2016-01-01 12:00:00","2f830e8535cf46c6813c54fe166229ce","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"GHS","Cedi ghanés","1.00000000","0",\N,\N
"49","2016-01-01 12:00:00","c056160371d04685a882aab765af99bb","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"GIP","Libra de Gibraltar","1.00000000","0",\N,\N
